Code,Name,Customer Type,Bank Name,Bank Account Number,Sales Account,Tin,Term,Street,City,Province,Country,Zip Code,Mobile,Landline,Fax,Email,Website,Contact Person,Contact Role,Status
 R4_02,ANIKA ELLIE MEDICAL SUPPLIES TRADING,Dealer /  Distributor,,,Accounts Receivable,0,30,"1413 Josephine Subd. Gulang-Gulang, Lucena, Quezon",,,,,9281573132,,,anikaelliemedicalsupplies08@gmail.com,,,,Active
 R4_03,BIOTECHNICA MEDICAL ENTERPRISES,Dealer /  Distributor,,,Accounts Receivable,0,30,"D. P. Canlas St, San Matias, Santo Tomas, 2020 Pampanga",,,,,,,,,,,,Active
 R4_04,BRIONES DIAGNOSTICS AND MEDICAL CLINIC,Medical Doctors Clinic,,,Accounts Receivable,0,30,BRGY. MALABANAN NORTE CANDELARIA QUEZON,,,,,9255155764,,,bdmc.jb@gmail.com,,BELLE BRIONES,,Active
 R4_05,C PLUZ MEDICAL SUPPLIES CORPORATION,Dealer /  Distributor,,,Accounts Receivable,0,30,"Governor's Drive, Carmona",,,,,0917 886 3590,,,cpluzmedicalsupplies.sales@gmail.com,,,,Active
 R4_06,CALAUAG ST. PETER GENERAL HOSPITAL INC.,Private Hospital,,,Accounts Receivable,9477929000,30,QUEZON ST BRGY. POBLACION DOS CALAUAG QUEZON,,,,,0931-219-5706,,,spgeneralhospital@gmail.com,,,,Active
 R4_07,CAVITE EAST ASIA MEDICAL CENTER INC,Private Hospital,,,Accounts Receivable,7540547000,30,"4102 MOLINO ROAD, BRGY. MOLINO III, BACOOR CITY, CAVITE",,,,,0917-519-7342,,,yvette.manzano@ceamci.com,,Yvette Manzano,,Active
 R4_08,CHRIST THE SAVIOUR GENERAL HOSPITAL INC.,Free Standing Laboratory,,,Accounts Receivable,0,30,"Barangay A Rosario, Batangas",,,,,,,,,,,,Active
 R4_09,CITY OF IMUS DOCTORS HOSPITAL INC,Government Hospital,,,Accounts Receivable,0,30,"Aguinaldo Hwy, Imus, Cavite",,,,,0917 130 6085,,,cidhmarketing@gmail.com,,,,Active
 R4_10,DE LA SALLE MEDICAL AND HEALTH SCIENCES INSTITUTE,University / Schools,,,Accounts Receivable,0,30,"Governor, D. Mangubat St, Avenue, Dasmari嚙窮s, Cavite",,,,,,,,,,,,Active
 R4_11,EAGLEBURGMANN PHIL INC.,Dealer /  Distributor,,,Accounts Receivable,0,30,"APC Building No. 212, Main Ave. corner Governor's Drive, Dasmarinas Technopark Paliparan, Cavite.",,,,,,,,,,,,Active
 R4_12,EMK DIAGNOSTIC LABORATORY,Free Standing Laboratory,,,Accounts Receivable,168136393000,30,19 ANIBAN 1 BACOOR CAVITE,,,,,9434767443,,,charmainevizcondemd@gmail.com,,,,Active
 R4_13,EVERJOY DIAGNOSTIC TRADING,Dealer /  Distributor,,,Accounts Receivable,123695851000,30,CUSTODIO ST TAYSANSAN JOSE BATANGAS,,,,,0966-9154-648,,,flordeliza.everjoy@gmail.com,,Ms. Flordeliza Belano,,Active
 R4_14,"FLD SOLUTIONS, INC.",Dealer /  Distributor,,,Accounts Receivable,0,30,"Village Front Brentville Brgy Mamplasan, Laguna",,,,,,,,,,,,Active
 R4_15,GOD'S HEALING PHARMACY & PHARMA TRADING,Dealer /  Distributor,,,Accounts Receivable,0,30,"Sitio 2, Pagsanjan,  Laguna",,,,,0933 853 8082,,,godshealingpharmacy_pt@yahoo.com,,,,Active
 R4_16,GRAMZMED MEDICAL AND LABORATORY SUPPLIES,Dealer /  Distributor,,,Accounts Receivable,489808269000,30,BLK 6A LOT 1 PH 1 VERONA ST/ IL GIARDINO RESIDENCES BUENAVISTA. GENERAL TRIAS CAVITE,,,,,9171533213,,,jar.gramzmed@gmail.com,,JAYSON RAMIREZ,,Active
 R4_17,THE GREENSLEEVES SCIENTIFIC MEDICAL CORP.,Dealer /  Distributor,,,Accounts Receivable,136-576-065-000,30,B5 L10 SAMAR LOOP ST. MACARIA VILLAGE CANLALAY BINAN LAGUNA,,,,,0922-8309-346,,,greensleevesmarketing@gmail.com,,Ms. Charie,,Active
 R4_18,GUINAYANGAN DIAGNOSTIC LABORATORY,Free Standing Laboratory,,,Accounts Receivable,192935541001,30,"GOMBUZA ST BRGY. POBLACION, GUINAYANGAN QUEZON",,,,,,,,,,,,Active
 R4_19,GUMACA DRUG AND VARIETY STORE,Dealer /  Distributor,,,Accounts Receivable,0,30,"A. Bonifacio St., Brgy. Maunlad, Gumaca, Quezon",,,,,,,,,,,,Active
 R4_20,HOLISTIC CHOICE MULTISPECIALTY CLINIC,Medical Doctors Clinic,,,Accounts Receivable,0,30,"Timbao, Bin嚙緯, Laguna",,,,,0932 889 5805,,,,,,,Active
 R4_21,HOLY ROSARY HOSPITAL,Private Hospital,,,Accounts Receivable,0,30,"F.B. Bailon St, Cabuyao City, Laguna",,,,,,,,,,,,Active
 R4_22,INSORIO MULTI-SPECIALTY CLINIC AND LABORATORY,Free Standing Laboratory,,,Accounts Receivable,0,30,"151 Unit B&C Silangan Bldg., A. Bonifacio Street, Brgy. Canlalay Binan Laguna",,,,,,,,,,,,Active
 R4_23,JARO MEDICAL AND DIAGNOSTIC CENTER CORP.,Free Standing Laboratory,,,Accounts Receivable,0,30,"Salitran, Dasmari嚙窮s, Cavite",,,,,0926 068 1092,,,,,,,Active
 R4_24,JENIA MARKETING,Dealer /  Distributor,,,Accounts Receivable,0,30,"Blk 15 LOT 14 ALMOND ST SPRINGVILLE, 2 MOLINO 3, Bacoor, Cavite",,,,,0917-543-2468,,,jeniamarketing0324@gmail.com,,Ms. Jennifer Ruiz,,Active
 R4_25,JOHN PAUL II CLINICAL LABORATORY,Free Standing Laboratory,,,Accounts Receivable,0,30,"Don V. Robles Ave. , Tiaong",,,,,0921 638 5000,,,johnpauliiclinicallaboratory@gmail.com,,,,Active
 R4_26,JYKEL CLINICAL LABORATORY,Free Standing Laboratory,,,Accounts Receivable,272148202000,30,"64 PLARIDEL ST. BRGY RIZALIANA, MAUBAN, Quezon",,,,,,,,,,,,Active
 R4_27,L.N.R. MEDICAL CLINIC,Medical Doctors Clinic,,,Accounts Receivable,779762515000,30,"MOLINO 1, BACOOR, CAVITE",,,,,9236050567,,,joecrisian@gmail.com,,Joecris Ian E. Sanchez,,Active
 R4_28,LOCAL GOVERNMENT UNIT OF ATIMONAN,Research Center,,,Accounts Receivable,75000,30,"ATIMONAN, QUEZON",,,,,,,,,,,,Active
 R4_29,LOCAL GOVERNMENT UNIT OF GUINAYANGAN,Research Center,,,Accounts Receivable,76000,30,"GUINAYANGAN, QUEZON",,,,,,,,,,,,Active
 R4_30,LOCAL GOVERNMENT UNIT OF LOPEZ,Research Center,,,Accounts Receivable,65000,30,LOPEZ. QUEZON,,,,,,,,,,,,Active
 R4_31,LOCAL GOVERNMENT UNIT OF TAGKAWAYAN,Research Center,,,Accounts Receivable,538540000,30,"TAGKAWAYAN, QUEZON",,,,,,,,,,,,Active
 R4_32,LOPEZ ST. JUDE GENERAL HOSPITAL INC,Private Hospital,,,Accounts Receivable,6722360000,30,BRGY DANLAGAN LOPEZ QUEZON,,,,,,,,,,,,Active
 R4_33,LUCBAN MMG GENERAL HOSPITAL,Private Hospital,,,Accounts Receivable,3375807003,30,NATIONAL HIGHWAY BRGY TINAMNAN LUCBAN QUEZON,,,,,,,,,,,,Active
 R4_34,LUCENA MMG GENERAL HOSPITAL,Private Hospital,,,Accounts Receivable,3375807000,30,MAHARLIKA HIGHWAY RED-V IBABANG HIGHWAY LUCENA QUEZON,,,,,9399125271,,,lucenammghosp@yahoo.com,,marjorie ruz,,Active
 R4_35,MATTGAB MEDICAL SUPPLIES,Dealer /  Distributor,,,Accounts Receivable,918814002000,30,B12 L6 LYNVILLE SAN FERNANDO MALVAR BATANGAS,,,,,0997-602-2950,,,mgmedicaltrading@gmail.com,,Mr. Bobby,,Active
 R4_36,MEDEQUIP LABORATORY AND DIAGNOSTIC SUPPLIES TRADING,Dealer /  Distributor,,,Accounts Receivable,0,30,CAVITE,,,,,,,,,,,,Active
 R4_37,MOTHER SAVIOUR POLYCLINIC AND LABORATORY,Free Standing Laboratory,,,Accounts Receivable,0,30,"7 RIZAL STREET POBLACION, SAN PEDRO, LAGUNA",,,,,,,,mothersaviourlaboratory@gmail.com,,PAOLO GINO C. JAINGA,,Active
 R4_38,MUNICIPAL HEALTH OFFICE-CALAUAG,Research Center,,,Accounts Receivable,0,30,"Cantre St, Calauag, Quezon",,,,,,,,,,,,Active
 R4_39,MUNICIPALITY OF TIAONG,Research Center,,,Accounts Receivable,0,30,"DON V. ROBLES ST., POBLACION 3, TIAONG, QUEZON",,,,,,,,,,,,Active
 R4_40,MV SANTIAGO MEDICAL CENTER,Private Hospital,,,Accounts Receivable,0,30,"TRECE MARTIRES CITY, CAVITE",,,,,,,,,,,,Active
 R4_42,"NUESTRA SE嚙瞌RA DE LOS ANGELES GENERAL HOSPITAL, INC.",Private Hospital,,,Accounts Receivable,8615509000,30,"147 MANUEL L. QUEZON ST., ATIMONAN, QUEZON",,,,,,,,nsdagenhos2015@yahoo.com,,,,Active
 R4_43,OUR LADY OF PIAT POLYCLINIC,Private Hospital,,,Accounts Receivable,0,30,"BLOCK 11 LOT 13 SOUTH CITY DRIVE HOMES, STO. TOMAS, BINAN CITY, LAGUNA",,,,,9665231257,,,piatpharmacy@yahoo.com,,DAISY BANDEQUILLO,,Active
 R4_44,PETER PAUL MEDICAL CENTER OF CANDELARIA INC,Private Hospital,,,Accounts Receivable,6943437000,30,REGIDOR ST. CANDELARIA QUEZON,,,,,9778549430,,,jonel_dimaunahan29@yahoo.com,,,,Active
 R4_45,POLILIO ISLAND CLINICAL LABORATORY,Free Standing Laboratory,,,Accounts Receivable,0,30,"PUROK TANGLAW, BRGY. SIBULAN, POLILIO, QUEZON",,,,,,,,,,,,Active
 R4_46,QUESTCARE MEDICAL PRODUCTS INC.,Dealer /  Distributor,,,Accounts Receivable,10447573000,30,"PUROK 2 SANTO NINO, SAN PASCUAL, BATANGAS 4204",,,,,9173205120,,,questcaredistributor@yahoo.com,,,,Active
 R4_47,QUEZON MEDICAL CENTER,Government Hospital,,,Accounts Receivable,633148000,30,"QUEZON AVENUE, LUCENA CITY, QUEZON",,,,,,,,mssdqmc@gmail.com,,,,Active
 R4_48,QUEZON MMG HOSPITALS AND HEALTH SERVICES COOP,Private Hospital,,,Accounts Receivable,3375807003,30,NATIONAL HIGHWAY BRGY TINAMNAN LUCBAN QUEZON,,,,,,,,,,,,Active
 R4_49,"RAKKK PROPHET MEDICAL CENTER, INC.",Private Hospital,,,Accounts Receivable,7354260000,30,KM 194 MAHARLIKA HIGHWAY BRGY ROSARIO GUMACA QUEZON,,,,,9082076398,,,rakkpmci@yahoo.com,,,,Active
 R4_50,RANNY MEDICAL & DIAGNOSTIC CLINIC,Free Standing Laboratory,,,Accounts Receivable,0,30,"123 Filsyn compound, Santa Rosa, Laguna",,,,,,,,,,,,Active
 R4_51,RCBL- MOUNT CARMEL DIOCESAN GENERAL HOSPITAL,Private Hospital,,,Accounts Receivable,6157193000,30,"MCDGH COMPOUND, ALLAREY EXTENSION, BRGY 1, LUCENA CITY, QUEZON",,,,,,,,mcdgh_purchasing@yahoo.com,,,,Active
 R4_52,RHU-TAGKAWAYAN,Research Center,,,Accounts Receivable,0,30,"TAGKAWAYAN, QUEZON",,,,,,,,,,,,Active
 R4_53,ROJEN'S DIAGNOSTIC LABORATORY,Free Standing Laboratory,,,Accounts Receivable,261218647000,30,QUEZON ST. BRGY. CALAUAG QUEZON,,,,,63 961 099 9839,,,ronajanegales76@gmail.com,,,,Active
 R4_54,SAN DIEGO DE ALCALA GENERAL HOSPITAL,Private Hospital,,,Accounts Receivable,170858270000,30,AGUINALDO COR TANADA ST. BRGY. SAN DIEGO GUMACA QUEZON,,,,,9338537578,,,,,vurginio hilario/acctg,,Active
 R4_56,ST. ANNE GENERAL HOSPITAL INC.,Private Hospital,,,Accounts Receivable,4164183000,30,"OLD MANILA S ROAD, LUCENA CITY, QUEZON",,,,,0922 898 5922,,,saghiofficial@yahoo.com.ph,,,,Active
